"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 30, 2020","2,860.08","2,832.38","2,865.59","2,832.38","24.25B","1.33%"
"Apr 29, 2020","2,822.44","2,801.38","2,831.76","2,800.74","20.21B","0.44%"
"Apr 28, 2020","2,810.02","2,819.99","2,821.75","2,758.25","25.39B","-0.19%"
"Apr 27, 2020","2,815.49","2,812.24","2,832.67","2,802.96","21.01B","0.25%"
"Apr 24, 2020","2,808.53","2,834.94","2,834.94","2,802.50","23.52B","-1.06%"
"Apr 23, 2020","2,838.50","2,850.51","2,853.64","2,835.90","24.88B","-0.19%"
"Apr 22, 2020","2,843.98","2,814.07","2,843.98","2,808.48","21.73B","0.60%"
"Apr 21, 2020","2,827.01","2,842.24","2,842.24","2,808.02","23.32B","-0.90%"
"Apr 20, 2020","2,852.55","2,840.41","2,852.99","2,833.26","21.18B","0.50%"
"Apr 17, 2020","2,838.49","2,835.56","2,854.96","2,830.02","24.57B","0.66%"
"Apr 16, 2020","2,819.94","2,798.43","2,823.34","2,796.84","20.30B","0.31%"
"Apr 15, 2020","2,811.17","2,826.66","2,829.75","2,808.70","20.56B","-0.57%"
"Apr 14, 2020","2,827.28","2,794.80","2,827.30","2,789.43","20.27B","1.59%"
"Apr 13, 2020","2,783.05","2,784.60","2,792.89","2,774.08","17.71B","-0.49%"
"Apr 10, 2020","2,796.63","2,827.19","2,833.01","2,789.98","23.35B","-1.04%"
"Apr 09, 2020","2,825.90","2,825.84","2,832.40","2,820.43","23.82B","0.37%"
"Apr 08, 2020","2,815.37","2,805.92","2,823.21","2,800.30","24.35B","-0.19%"
"Apr 07, 2020","2,820.76","2,806.97","2,823.28","2,801.84","27.02B","2.05%"
"Apr 03, 2020","2,763.99","2,773.58","2,780.59","2,754.07","20.08B","-0.60%"
"Apr 02, 2020","2,780.64","2,720.23","2,780.64","2,719.90","21.79B","1.69%"
"Apr 01, 2020","2,734.52","2,743.54","2,773.36","2,731.08","21.73B","-0.57%"
"Mar 31, 2020","2,750.30","2,767.31","2,771.17","2,743.12","21.86B","0.11%"
"Mar 30, 2020","2,747.21","2,739.72","2,759.10","2,723.05","23.97B","-0.90%"
"Mar 27, 2020","2,772.20","2,792.98","2,805.55","2,771.76","24.08B","0.26%"
"Mar 26, 2020","2,764.91","2,761.90","2,788.50","2,753.43","23.41B","-0.60%"
"Mar 25, 2020","2,781.59","2,775.30","2,788.64","2,757.80","27.31B","2.17%"
"Mar 24, 2020","2,722.44","2,703.02","2,723.41","2,667.13","25.70B","2.34%"
"Mar 23, 2020","2,660.17","2,677.59","2,703.33","2,656.50","24.98B","-3.11%"
"Mar 20, 2020","2,745.62","2,727.02","2,751.90","2,702.49","25.20B","1.61%"
"Mar 19, 2020","2,702.13","2,719.41","2,736.82","2,646.80","30.23B","-0.98%"
"Mar 18, 2020","2,728.76","2,792.32","2,815.87","2,728.76","29.12B","-1.83%"
"Mar 17, 2020","2,779.64","2,796.28","2,826.91","2,715.22","30.61B","-0.34%"
"Mar 16, 2020","2,789.25","2,897.30","2,898.03","2,784.66","35.19B","-3.40%"
"Mar 13, 2020","2,887.43","2,804.23","2,910.88","2,799.98","36.64B","-1.23%"
"Mar 12, 2020","2,923.49","2,936.02","2,944.47","2,906.28","30.78B","-1.52%"
"Mar 11, 2020","2,968.52","3,001.76","3,010.03","2,968.52","35.25B","-0.94%"
"Mar 10, 2020","2,996.76","2,918.93","3,000.30","2,904.80","39.33B","1.82%"
"Mar 09, 2020","2,943.29","2,987.18","2,989.21","2,940.71","41.46B","-3.01%"
"Mar 06, 2020","3,034.51","3,039.94","3,052.44","3,029.46","36.21B","-1.21%"
"Mar 05, 2020","3,071.68","3,036.15","3,074.26","3,022.93","44.54B","1.99%"
"Mar 04, 2020","3,011.67","2,981.81","3,012.00","2,974.36","35.33B","0.63%"
"Mar 03, 2020","2,992.90","3,006.89","3,026.84","2,976.62","41.01B","0.74%"
"Mar 02, 2020","2,970.93","2,899.31","2,982.51","2,899.31","36.73B","3.15%"
"Feb 28, 2020","2,880.30","2,924.64","2,948.13","2,878.54","40.12B","-3.71%"
"Feb 27, 2020","2,991.33","2,992.49","3,009.46","2,980.48","35.05B","0.11%"
"Feb 26, 2020","2,987.93","2,978.42","3,028.78","2,974.94","46.90B","-0.83%"
"Feb 25, 2020","3,013.05","2,982.07","3,016.95","2,943.72","44.16B","-0.60%"
"Feb 24, 2020","3,031.23","3,027.89","3,042.18","3,007.36","37.04B","-0.28%"
"Feb 21, 2020","3,039.67","3,022.25","3,058.90","3,020.14","36.46B","0.31%"
"Feb 20, 2020","3,030.15","2,981.88","3,031.37","2,968.45","34.57B","1.84%"
"Feb 19, 2020","2,975.40","2,979.52","2,998.27","2,971.82","31.51B","-0.32%"
"Feb 18, 2020","2,984.97","2,981.41","2,990.60","2,960.78","31.17B","0.05%"
"Feb 17, 2020","2,983.62","2,924.99","2,983.64","2,924.99","31.32B","2.28%"
"Feb 14, 2020","2,917.01","2,899.87","2,926.94","2,899.57","25.07B","0.38%"
"Feb 13, 2020","2,906.07","2,927.14","2,935.41","2,901.24","27.48B","-0.71%"
"Feb 12, 2020","2,926.90","2,895.56","2,926.90","2,892.42","24.87B","0.87%"
"Feb 11, 2020","2,901.67","2,894.54","2,913.82","2,882.24","26.92B","0.39%"
"Feb 10, 2020","2,890.49","2,860.50","2,891.85","2,851.05","29.49B","0.51%"
"Feb 07, 2020","2,875.96","2,858.93","2,875.96","2,838.77","30.95B","0.33%"
"Feb 06, 2020","2,866.51","2,826.89","2,876.59","2,807.61","31.64B","1.72%"
"Feb 05, 2020","2,818.09","2,792.37","2,842.74","2,778.86","30.98B","1.25%"
"Feb 04, 2020","2,783.29","2,685.27","2,786.16","2,685.27","36.40B","1.34%"
"Feb 03, 2020","2,746.61","2,716.70","2,766.58","2,716.70","21.59B","-7.72%"
"Jan 23, 2020","2,976.53","3,037.95","3,045.04","2,955.35","27.28B","-2.75%"
"Jan 22, 2020","3,060.75","3,038.49","3,069.25","3,006.27","22.39B","0.28%"
"Jan 21, 2020","3,052.14","3,085.79","3,085.79","3,051.23","23.48B","-1.41%"
"Jan 20, 2020","3,095.79","3,082.11","3,096.31","3,070.48","21.05B","0.66%"
"Jan 17, 2020","3,075.50","3,081.46","3,091.95","3,067.25","19.03B","0.05%"
"Jan 16, 2020","3,074.08","3,095.73","3,096.37","3,070.88","20.34B","-0.52%"
"Jan 15, 2020","3,090.04","3,103.17","3,107.94","3,082.04","20.23B","-0.54%"
"Jan 14, 2020","3,106.82","3,120.67","3,127.17","3,105.60","23.00B","-0.28%"
"Jan 13, 2020","3,115.57","3,091.49","3,115.57","3,075.38","21.06B","0.75%"
"Jan 10, 2020","3,092.29","3,102.29","3,105.22","3,081.40","21.04B","-0.08%"
