"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 30, 2020","2,650.56","2,683.86","2,700.97","2,629.57","-","-0.47%"
"Apr 29, 2020","2,663.14","2,629.24","2,669.47","2,617.34","-","1.95%"
"Apr 28, 2020","2,612.24","2,567.74","2,644.79","2,566.92","-","1.61%"
"Apr 27, 2020","2,570.91","2,570.69","2,597.64","2,557.81","-","0.35%"
"Apr 24, 2020","2,562.03","2,588.29","2,596.97","2,551.66","-","-1.44%"
"Apr 23, 2020","2,599.41","2,600.28","2,620.24","2,558.32","-","1.01%"
"Apr 22, 2020","2,573.41","2,474.32","2,584.68","2,471.23","-","3.43%"
"Apr 21, 2020","2,488.02","2,487.63","2,500.18","2,431.98","-","-1.50%"
"Apr 20, 2020","2,525.97","2,524.31","2,546.14","2,502.38","-","-0.36%"
"Apr 17, 2020","2,534.97","2,550.95","2,556.42","2,516.87","-","0.79%"
"Apr 16, 2020","2,515.05","2,511.55","2,550.84","2,468.65","-","0.64%"
"Apr 15, 2020","2,498.94","2,617.19","2,617.19","2,489.99","-","-5.05%"
"Apr 14, 2020","2,631.83","2,649.34","2,667.58","2,619.91","-","0.11%"
"Apr 13, 2020","2,628.85","2,675.73","2,677.90","2,610.61","-","-1.83%"
"Apr 10, 2020","2,677.86","2,678.30","2,680.89","2,656.45","-","-0.88%"
"Apr 09, 2020","2,701.77","2,693.58","2,713.50","2,643.98","-","1.19%"
"Apr 08, 2020","2,670.12","2,617.66","2,670.12","2,603.99","-","1.34%"
"Apr 07, 2020","2,634.74","2,648.74","2,688.67","2,612.96","-","0.46%"
"Apr 06, 2020","2,622.59","2,597.28","2,639.56","2,576.28","-","1.96%"
"Apr 03, 2020","2,572.23","2,547.15","2,609.16","2,533.06","-","1.03%"
"Apr 02, 2020","2,545.95","2,528.72","2,562.54","2,470.85","-","2.92%"
"Apr 01, 2020","2,473.61","2,465.56","2,491.66","2,449.01","-","-1.40%"
"Mar 31, 2020","2,508.81","2,466.28","2,526.13","2,459.19","-","3.10%"
"Mar 30, 2020","2,433.35","2,377.21","2,435.53","2,357.53","-","1.34%"
"Mar 27, 2020","2,401.11","2,491.70","2,498.33","2,378.88","-","-3.57%"
"Mar 26, 2020","2,489.97","2,448.76","2,514.92","2,403.60","-","1.52%"
"Mar 25, 2020","2,452.69","2,459.30","2,518.38","2,372.34","-","1.52%"
"Mar 24, 2020","2,415.97","2,349.47","2,435.27","2,341.21","-","7.22%"
"Mar 23, 2020","2,253.35","2,257.88","2,321.76","2,213.49","-","-3.36%"
"Mar 20, 2020","2,331.61","2,327.27","2,418.74","2,314.75","-","2.46%"
"Mar 19, 2020","2,275.70","2,134.43","2,288.09","2,073.87","-","7.72%"
"Mar 18, 2020","2,112.64","2,192.79","2,205.41","2,097.84","-","-5.04%"
"Mar 17, 2020","2,224.74","2,263.62","2,313.34","2,172.46","-","-1.86%"
"Mar 16, 2020","2,266.90","2,297.04","2,301.19","2,179.12","-","-2.14%"
"Mar 13, 2020","2,316.38","2,277.66","2,418.15","2,275.16","-","1.31%"
"Mar 12, 2020","2,286.40","2,413.02","2,413.02","2,277.58","-","-8.28%"
"Mar 11, 2020","2,492.88","2,532.72","2,555.43","2,457.36","-","-0.24%"
"Mar 10, 2020","2,498.94","2,502.70","2,661.63","2,435.62","-","-8.11%"
"Mar 06, 2020","2,719.51","2,773.53","2,782.77","2,680.06","-","-3.45%"
"Mar 05, 2020","2,816.70","2,852.42","2,861.60","2,800.43","-","-0.40%"
"Mar 04, 2020","2,828.01","2,799.18","2,841.13","2,779.85","-","0.24%"
"Mar 03, 2020","2,821.37","2,817.58","2,844.04","2,789.76","-","2.01%"
"Mar 02, 2020","2,765.77","2,829.47","2,875.30","2,714.36","-","-0.69%"
"Feb 28, 2020","2,785.08","2,850.11","2,855.32","2,744.18","-","-4.48%"
"Feb 27, 2020","2,915.84","2,989.18","3,002.20","2,910.46","-","-3.37%"
"Feb 26, 2020","3,017.42","2,994.22","3,026.26","2,958.46","-","0.49%"
"Feb 25, 2020","3,002.68","3,058.33","3,073.27","3,002.68","-","-3.33%"
"Feb 21, 2020","3,106.03","3,109.86","3,129.24","3,098.76","-","-0.61%"
"Feb 20, 2020","3,125.10","3,120.51","3,139.59","3,117.50","-","0.34%"
"Feb 19, 2020","3,114.57","3,089.09","3,117.84","3,086.41","-","1.32%"
"Feb 18, 2020","3,074.05","3,103.71","3,104.42","3,064.15","-","-1.16%"
"Feb 17, 2020","3,110.06","3,097.18","3,110.06","3,092.45","-","0.43%"
"Feb 14, 2020","3,096.88","3,113.72","3,120.89","3,084.57","-","-0.42%"
"Feb 13, 2020","3,110.05","3,116.99","3,122.19","3,096.98","-","-0.39%"
"Feb 12, 2020","3,122.27","3,103.81","3,122.27","3,095.70","-","0.80%"
"Feb 11, 2020","3,097.58","3,072.39","3,109.22","3,069.90","-","1.15%"
"Feb 10, 2020","3,062.41","3,088.63","3,092.93","3,049.33","-","-0.82%"
